,x,y,z,# of connected lines,0th line destination point,0line and 1line cos,1th line destination point
0,-67.0094401929186,-74.13200245500511,2641.852073207014,2,0,-0.9859741085106775,2
1,-67.06276025967748,-74.09731597481061,2641.901306670417,2,0,-0.9860335842431683,2
2,-67.18350979329588,-73.94968726087417,2642.0211354044823,2,0,-0.9871465693133947,2
3,-67.24340108095356,-73.56200898419496,2642.005421293753,2,0,-0.9868809586320281,2
4,-67.35343522785902,-73.36144627095845,2641.999468976749,2,0,-0.9866837985410097,2
5,-67.44090224880708,-73.29532799816371,2642.0115075837366,2,0,-0.9866062661065028,2
6,-67.72524477487467,-73.22128188299776,2642.3204661695954,2,0,-0.9874564961430091,2
7,-67.8989858971544,-73.10063997616545,2642.5118120772145,2,0,-0.9876323210315631,2
8,-68.0321838305425,-72.99498984571888,2642.7049888244924,2,0,-0.9877089447628109,2
9,-68.18305744039745,-72.94587844857736,2642.9027812850563,2,0,-0.9872071272987758,2
10,-68.2208182683922,-72.99219120684309,2643.0774355414906,2,0,-0.9872567469779634,2
11,-68.27697090077658,-72.8534851171776,2643.1922283919275,2,0,-0.9871206338416737,2
12,-68.39875956781404,-72.47403141165118,2643.3569411338726,2,0,-0.9872610085142577,2
13,-68.59519860546234,-72.10571376817826,2643.531822907025,2,0,-0.9876926067689541,2
14,-68.75135533602698,-71.8591816793335,2643.6747449611958,2,0,-0.9874968709938677,2
15,-68.96789539263047,-71.69694576632925,2643.775624978544,2,0,-0.9876555437267645,2
16,-69.10315714965465,-71.4664978093697,2643.781438776238,2,0,-0.9879762897401608,2
17,-69.17273183393446,-70.35365032667683,2644.10508510303,2,0,-0.9880183120092633,2
18,-69.14260154413758,-67.87145242845372,2644.7167934840436,2,0,-0.9883836347895297,2
19,-69.1170749990847,-65.39994754499455,2645.197232212661,2,0,-0.9877681957084677,2
20,-69.12698062364566,-63.72587720627066,2645.6565260849543,2,0,-0.9876705674392131,2
21,-69.1515827474699,-62.59213893056756,2645.9463793941277,2,0,-0.9883810662473471,2
22,-68.7991110345248,-60.88973620459273,2646.1859477498615,2,0,-0.9880010605890718,2
23,-68.31768088135324,-57.98415817258521,2646.685523794785,2,0,-0.9868025105181509,2
24,-67.7518596141285,-54.127778920119525,2647.505985965235,2,0,-0.9868499481666305,2
25,-66.99736751864968,-50.01649655419298,2648.1618218958247,2,0,-0.9860286251019572,2
26,-66.37599543019049,-46.403973174636754,2648.847834435857,2,0,-0.985927409438274,2
27,-65.73939059101076,-43.55981435059191,2649.332714752782,2,0,-0.9859086233495055,2
28,-65.03214089794655,-40.76115425828079,2649.790487430265,2,0,-0.9860258919120679,2
29,-64.2753080944415,-37.74675166862935,2650.4191620497763,2,0,-0.9857756349486747,2
30,-63.69003767213908,-34.73779995842966,2651.1689611851334,2,0,-0.9853208714578301,2
31,-63.00686530515938,-31.94361692850038,2651.6480230482753,2,0,-0.9846814414038905,2
32,-62.00151762426477,-28.657854233775453,2652.342391265668,2,0,-0.9842415599442967,2
33,-60.812109264459636,-25.313601676511965,2653.170467441096,2,0,-0.9844946477698607,2
34,-59.77156301458121,-22.44501252719854,2653.983699780539,2,0,-0.9844448753021847,2
35,-58.721362667869144,-20.070727838079513,2654.5582218234986,2,0,-0.9845905485591153,2
36,-57.81531040060564,-18.116210362303573,2655.024524971103,2,0,-0.9838337561519215,2
37,-57.08791533773398,-16.620975552340948,2655.636643563984,2,0,-0.9842909507716013,2
38,-55.800126755033915,-14.45802002469292,2656.134020284787,2,0,-0.9843616068944803,2
39,-54.05138171773588,-11.59707654613999,2656.919648692379,2,0,-0.9844284665659075,2
40,-52.15936264451059,-8.840405378110681,2657.6673132198334,2,0,-0.9842725563924383,2
41,-50.58458065562302,-6.735231404962478,2658.110646992043,2,0,-0.984010661761839,2
42,-49.30165770598356,-5.343182288746871,2658.3316652560984,2,0,-0.9845221323558806,2
43,-47.96728110916232,-4.037642962853419,2658.5108120213476,2,0,-0.9840043700519867,2
44,-46.03163501646414,-1.6232648966125587,2659.174991444534,2,0,-0.9841397223746199,2
45,-43.681204960521086,1.297189907076372,2659.956950847666,2,0,-0.9838259495699898,2
46,-41.54452886760027,3.952908967472971,2660.985442411594,2,0,-0.9842913553582233,2
47,-39.853891612636744,5.745441717539516,2661.597842865233,2,0,-0.9840967114673015,2
48,-38.550536601595255,6.821777483496922,2662.119597241759,2,0,-0.9846000811377623,2
49,-37.18891929853504,7.822810575860845,2662.683624906124,2,0,-0.9847510952299223,2
50,-35.17348903489689,9.603831776926588,2663.7781669733663,2,0,-0.9844652330402465,2
51,-33.408369340325095,11.211275602590234,2664.8606116173437,2,0,-0.9845965424346925,2
52,-31.954278131947344,12.429560611727647,2665.7720394937214,2,0,-0.9841366408488664,2
53,-30.912174264028998,13.291082126884744,2666.5416977743334,2,0,-0.9841930070622156,2
54,-29.704425755963552,14.060252659391422,2666.9884891240517,2,0,-0.9842298462451873,2
55,-28.429590016342225,15.080141648769313,2667.6017834884256,2,0,-0.9842014460905251,2
56,-27.02018874468185,16.58515584121963,2668.8478494610854,2,0,-0.9841980545950184,2
57,-25.861285698225387,17.895169735466478,2670.1760508190696,2,0,-0.984695068957425,2
58,-25.00811840820108,18.8199539629656,2671.2380595606105,2,0,-0.9844490370486534,2
59,-24.37753703307958,19.436060123580095,2672.0953434938688,2,0,-0.9844589229606852,2
60,-24.048889332250898,19.911515446820978,2672.779063256836,2,0,-0.9844439041076877,2
61,-23.476742360652345,20.866787301202837,2673.6826953749764,2,0,-0.9843256287958958,2
62,-22.355950422179138,22.34267911448334,2674.798390783012,2,0,-0.9842738654316487,2
63,-21.265959760192874,23.742136667439645,2675.8804254801817,2,0,-0.9846877362777713,2
64,-20.23979064957596,24.766362328958927,2676.5748848428884,2,0,-0.9844805951280274,2
65,-19.553377635693547,25.427949637282452,2676.969025638563,2,0,-0.9845352685661143,2
66,-19.252759815627357,25.754497751817567,2677.124522999529,2,0,-0.9843382969291308,2
67,-19.30924686369657,25.818925999785087,2677.2679071555126,2,0,-0.9844884564602331,2
68,-19.672902748048614,25.733982280356212,2677.456126414967,2,0,-0.9843702855207269,2
69,-20.512790267242018,25.352308744443405,2677.618262701798,2,0,-0.9846414676097232,2
70,-21.749444235675263,24.39225829071486,2677.199388110419,2,0,-0.984287114318288,2
71,-22.44242706366966,23.68911541726784,2676.7783104209057,2,0,-0.9842833965976668,2
72,-21.574980451604276,23.902813073082125,2676.466362613037,2,0,-0.9847352316941714,2
73,-20.92474250935575,23.848703752066225,2676.108257847094,2,0,-0.9846253065637962,2
74,-20.5180841672532,23.36300270012696,2675.762238435893,2,0,-0.984812793831002,2
75,-20.50387219885753,22.324050983421238,2674.9534813838395,2,0,-0.9844605469082021,2
76,-21.708341661367772,20.114900690111973,2673.5521415779235,2,0,-0.9844371729796656,2
77,-24.108452143113567,16.74629257068637,2671.556362930701,2,0,-0.9845730412245178,2
78,-26.367326933839202,13.424018862766278,2669.6972267402407,2,0,-0.984841537467851,2
79,-28.26526532250588,10.793139165530095,2668.523338818347,2,0,-0.9846136683395668,2
80,-30.356957035483525,8.10223091252378,2667.5565660030215,2,0,-0.9846571119264432,2
81,-33.26301376953979,4.452834342680492,2666.262199766635,2,0,-0.98489476627686,2
82,-37.154816176602964,-0.5268787036119393,2664.536465695065,2,0,-0.985187042500659,2
83,-40.60527889770118,-5.396891526839647,2662.7526148445686,2,0,-0.9854903797860607,2
84,-41.83423407058993,-7.313304886568951,2661.975072579075,2,0,-0.9857493697330401,2
85,-41.86752271077656,-7.222502680029697,2661.974199527493,2,0,-0.9856609231032377,2
86,-41.73558259887791,-7.41483976025276,2661.619741412734,2,0,-0.9849816709848288,2
87,-41.77594829436505,-7.877184423089456,2661.2412233170007,2,0,-0.985071320336167,2
88,-42.048935896621295,-8.695826517479452,2660.738496086509,2,0,-0.9854186272144532,2
89,-42.759713501604466,-10.436862358221875,2659.5186273316513,2,0,-0.9855694108868577,2
90,-43.554544386670806,-12.929103552210343,2657.962142742392,2,0,-0.9856760540535396,2
91,-44.124420155335756,-14.425132860681133,2657.226833557045,2,0,-0.985214105786401,2
92,-44.63603622362388,-15.34299711411572,2656.971313447283,2,0,-0.9860761597942372,2
93,-45.4932383643259,-17.110510725399365,2656.3366695864133,2,0,-0.9859688040016261,2
94,-46.926701324416236,-20.140318256475414,2655.2644985439206,2,0,-0.985988497504509,2
95,-48.67300169101238,-24.18323805588688,2653.8572208508403,2,0,-0.9860934795602643,2
