,x,y,z,# of connected lines,0th line destination point,0line and 1line cos,1th line destination point
0,-12.958107444211567,-79.04912035492339,2669.141784288637,2,1,-0.9934988045806544,3
1,-12.960552842587772,-78.84118228458725,2669.4267091068737,2,1,-0.9943622800145572,3
2,-13.086122362828682,-78.75009176054729,2669.084044727414,2,1,-0.9934614649966811,3
3,-13.144142997133635,-78.57804843048561,2668.8522233849253,2,1,-0.9925369548179497,3
4,-13.236664498103615,-78.35584716289158,2669.0020753015438,2,1,-0.9928252853090955,3
5,-13.358575816894653,-78.26590119734836,2669.0922925607565,2,1,-0.9930904166153671,3
6,-13.573394222906302,-78.14956958545042,2669.149954386657,2,1,-0.9925857194255514,3
7,-13.738522130013695,-78.03497768385833,2669.192828756194,2,1,-0.9921818973448969,3
8,-13.85203058100412,-77.9402444747386,2669.33743820984,2,1,-0.9919863086025109,3
9,-13.996154365141056,-77.93916694461774,2669.5942003871446,2,1,-0.9920690400106732,3
10,-14.135149080678282,-78.04839277174791,2669.6499776390506,2,1,-0.9916891714068478,3
11,-14.175733310275032,-77.84160999005181,2669.773356886606,2,1,-0.9919145294415103,3
12,-14.280990209550552,-77.50664582954569,2669.9674168321717,2,1,-0.9920884055532122,3
13,-14.485594770436668,-77.15596534087625,2669.9973925150684,2,1,-0.9916836702040366,3
14,-14.721580882404018,-76.91529327038896,2670.1961416434,2,1,-0.9920857570735666,3
15,-14.80733678341526,-76.78480611794147,2670.276004691863,2,1,-0.9918070832792657,3
16,-14.86254114312325,-76.56883931821893,2670.23862635698,2,1,-0.9916174343021233,3
17,-14.925231303187289,-75.72859692955615,2670.644110436601,2,1,-0.9921783739871773,3
18,-14.983928398324386,-74.36520922356964,2670.9156956778475,2,1,-0.9912157072818069,3
19,-15.0885319950694,-73.08016513900138,2671.431349729859,2,1,-0.9909270856404034,3
20,-15.135377856594218,-72.11268067429349,2671.731110685955,2,1,-0.9905577338876717,3
21,-15.226255518700363,-71.25108032269763,2671.8733073446233,2,1,-0.9904890699083697,3
22,-15.046030142358441,-70.13735581270069,2672.085937605979,2,1,-0.9904252822302017,3
23,-14.823168341077704,-68.29619717567391,2672.73593093491,2,1,-0.9909286398577571,3
24,-14.440479649749369,-65.66385309873336,2673.185634571052,2,1,-0.9906922494693264,3
25,-13.985131250961397,-62.93127983059632,2673.8546503811085,2,1,-0.9910882933791162,3
26,-13.589588152149927,-60.52012092791259,2674.343469963545,2,1,-0.990674777718395,3
27,-13.135374837346369,-58.5469006150998,2674.6823953603316,2,1,-0.9905598200725809,3
28,-12.516954200226339,-56.57746557387855,2674.934727964105,2,1,-0.99015013842787,3
29,-12.047514759721974,-54.5040508710306,2675.367204414958,2,1,-0.9901133716650873,3
30,-11.621186041729905,-52.29239869069019,2675.9468702888353,2,1,-0.9904501356811967,3
31,-11.058251452983434,-50.0763689084077,2676.3306978476153,2,1,-0.990681390553506,3
32,-10.311898805630376,-47.5962384059227,2676.874017850174,2,1,-0.9909146729557736,3
33,-9.376913816412813,-45.178077625432884,2677.4091506121613,2,1,-0.9907860903136758,3
34,-8.53548764437678,-42.96553915557188,2677.886866421797,2,1,-0.9908492198343718,3
35,-7.536556220155799,-41.05218514602318,2678.130324318342,2,1,-0.9902054582449303,3
36,-6.959055107775168,-39.662047948810155,2678.6057890775355,2,1,-0.9909424690584323,3
37,-6.2186164776637085,-38.63254617586846,2678.99005262082,2,1,-0.9905034981290871,3
38,-5.142346353836725,-37.24065149165731,2679.421360942458,2,1,-0.9906716794152678,3
39,-3.758131057864757,-35.34744097108984,2680.0969541831373,2,1,-0.9908280682851324,3
40,-2.3104620039039783,-33.60431329656159,2680.5779181234475,2,1,-0.9904829165375363,3
41,-1.124505130960582,-32.20060678428882,2681.038711449468,2,1,-0.9908834183321316,3
42,-0.0023736323968022166,-31.242926428903747,2681.0961690366184,2,1,-0.9903401274900003,3
43,0.8924140880699823,-30.42289176036261,2681.4171999194787,2,1,-0.9911437823723406,3
44,2.4757847936198427,-28.900564666557827,2681.898981117652,2,1,-0.9908785053084646,3
