,x,y,z,# of connected lines,0th line destination point
204,-23.419716166905342,1.2190835522755463,2686.7755202140543,1,1
205,-23.450490546936624,1.4079651840642846,2687.0837451121624,1,1
206,-23.718396868552148,1.3815568222428618,2686.8794059700185,1,1
207,-25.24177097189057,1.7896294490825988,2685.8654161652726,1,1
208,-28.49853837012079,2.9483496621795995,2683.954902027108,1,1
209,-33.23433548439934,4.301462003870411,2681.029826464755,1,1
210,-38.77567155546659,5.22131806704175,2677.4570040306294,1,1
211,-44.2407325135607,5.574030467961738,2673.8135643775977,1,1
212,-49.730825951810765,5.45820326656643,2669.9812951027334,1,1
213,-56.46519325815587,4.484406673025764,2665.5083224249634,1,1
214,-64.71168595970815,2.2509390685431843,2660.3979887671085,1,1
215,-73.12987089358973,-1.1444192741877424,2655.2873870247613,1,1
216,-80.33419406252344,-5.092931525533837,2650.8477618144225,1,1
217,-86.36771966639701,-9.574136178808086,2647.155816721025,1,1
218,-91.56210565943586,-14.327377438444433,2643.8490748154213,1,1
219,-96.25982589052352,-19.208898498638035,2641.2818580017815,1,1
220,-100.5415610991418,-24.144967465626422,2639.0725707080915,1,1
221,-104.24104095624445,-28.851017363500564,2637.1730115364353,1,1
222,-107.2199862836041,-33.11232711375575,2635.5570862614477,1,1
223,-109.93638224337829,-36.8572913256141,2634.6865254012464,1,1
224,-112.83026053411606,-41.064026955819784,2633.9663437833483,1,1
225,-116.10166453664469,-47.17466574731696,2633.009420636319,1,1
226,-118.84373037546871,-54.59230514340787,2631.569991372529,1,1
227,-121.07256889813678,-61.49651453336951,2630.286415328637,1,1
228,-123.07713824020975,-66.88919286188823,2629.878647396456,1,1
229,-124.84480108958374,-71.35873077823793,2629.989144336806,1,1
230,-126.37797660967863,-75.44502428372178,2630.239704572686,1,1
231,-127.9498207963265,-79.31118274446834,2630.746313576745,1,1
232,-129.30858564937031,-82.19649768931588,2631.387367600254,1,1
233,-130.35342512290705,-83.98027814534197,2631.9757686215785,1,1
234,-131.3645061785669,-84.68510762171479,2632.693885510012,1,1
235,-131.94719131749713,-84.53657413710359,2633.2788228682666,1,1
236,-132.49329343000625,-83.63849105539364,2634.100389702956,1,1
237,-133.14549778885254,-82.40393243904066,2635.08157536154,1,1
238,-133.8126981737574,-81.34814798105741,2636.0049240790595,1,1
239,-134.37233945078944,-80.51217249614187,2636.519319666532,1,1
240,-134.64825016647973,-80.01900052330515,2636.618000022056,1,1
241,-134.79761685149117,-79.47226347216703,2636.608898427238,1,1
242,-134.913329370367,-79.07815041882829,2636.5183298332004,1,1
243,-134.90480835060157,-78.87839734245844,2636.3507212136233,1,1
244,-134.737826510252,-78.81764664167464,2635.969175062906,1,1
245,-134.2931790116288,-78.54958259383373,2635.542050450448,1,1
246,-133.7190387311347,-78.05485322654306,2635.0413490272404,1,1
247,-132.78616273779102,-77.33937005876551,2634.1506035552584,1,1
248,-131.5765021286092,-76.2990505116226,2632.871567898431,1,1
249,-129.9006064286279,-74.86921297465213,2630.9582801107417,1,1
250,-127.91666890345944,-73.19242748492096,2628.6215101012217,1,1
251,-125.88532152402361,-71.41250260469157,2626.0356954129184,1,1
252,-123.91599447663386,-69.77059414947807,2623.3236561563895,1,1
253,-121.9217928799372,-68.44930107588979,2620.475145798755,1,1
254,-119.93943564502408,-67.4097577130058,2617.434020017852,1,1
255,-117.91256990132506,-66.76900663488694,2614.304761996683,1,1
256,-115.89158898993689,-66.62884669371664,2611.1363567996527,1,1
257,-114.01707951479361,-66.87666357015179,2608.107438050884,1,1
258,-112.24085964972403,-67.2404250694848,2605.3147814483764,1,1
259,-110.52552098292595,-67.5700527514719,2602.6406734918096,1,1
260,-109.05306647594223,-67.75663810245901,2600.1179237963006,1,1
261,-107.85429749505728,-68.0080307063867,2598.0808525872158,1,1
262,-106.90254723429614,-68.31861021525488,2596.2848472398655,1,1
263,-106.15708087415271,-68.74134462799755,2594.9049147312667,1,1
264,-105.49550969954598,-69.04453679459584,2593.6576543710576,1,1
265,-104.85939545334229,-69.11205967157365,2592.5406474905885,1,1
266,-104.23112941874527,-68.6706944824421,2591.602675755877,1,1
267,-103.71838552592118,-67.93656734061328,2590.896137855132,1,1
268,-103.68020677776792,-67.07727789071804,2590.6536971708506,1,1
269,-104.0054936507481,-66.45892602306948,2590.8070315294763,1,1
270,-104.77033716402295,-66.16894864516321,2591.338360492482,1,1
271,-105.65786808891193,-65.8817703100305,2592.1068944268995,1,1
272,-106.66610386603875,-65.55114604872782,2593.0408561495483,1,1
273,-107.67913388931974,-65.01321108085064,2594.234887257791,1,1
274,-108.83471238946589,-64.41011134725343,2595.567515808157,1,1
275,-110.06813054311111,-63.9900493150852,2597.22981957021,1,1
276,-111.3069507312603,-63.791260824693296,2598.879500562843,1,1
277,-112.50630419066795,-63.76852983610106,2600.661504709686,1,1
278,-113.78195029230679,-63.75683903144875,2602.592420434442,1,1
279,-115.22066051343299,-63.89963751087889,2604.7454253416095,1,1
280,-116.9029373813191,-64.38629219841319,2606.9288245695657,1,1
281,-118.5495002545093,-65.19060925141169,2609.2408610134903,1,1
282,-120.29472066883538,-66.20174057093887,2611.7356775415515,1,1
283,-122.14970644282991,-67.34308398546952,2614.1950340051094,1,1
284,-124.11160323221375,-68.30123892797776,2616.775881063673,1,1
285,-125.9393829825564,-68.90855300551532,2619.280343922434,1,1
286,-127.63102958575736,-69.22266622477272,2621.575196227741,1,1
287,-129.24386989419196,-69.03445843497819,2623.7094195883856,1,1
288,-130.83276979886847,-68.69240696119547,2625.6901372195093,1,1
289,-132.46192065731657,-68.15263171968694,2627.6552875017605,1,1
290,-134.00767351128687,-67.47799496681829,2629.2534332624655,1,1
291,-135.6891595396156,-66.48668673935332,2630.734515992762,1,1
292,-137.32337081417543,-65.33551236342156,2632.062311700849,1,1
293,-138.73419818186423,-64.15262087184001,2633.171812140737,1,1
294,-139.70336538466847,-63.13374087132181,2633.914317709124,1,1
295,-140.4057593572332,-62.53925211478402,2634.5903230458275,1,1
296,-140.76984372476835,-62.75212669567467,2635.1850295269005,1,1
297,-140.92981301898328,-63.85442680028309,2635.714710440043,1,1
298,-141.15774418087304,-65.23527602976019,2636.3855214149316,1,1
299,-141.39651564909906,-66.43220262452438,2637.1623901933367,1,1
