Original Filename,/home/tos/snakestrike_test/triangulation/capture_022/TriangulatedPoints_1.xml,
ModifiedNumTimesteps,301,
MaxNumPoints,4,
MaxTimestep,300,
NumMissingTimesteps,0,
0,-1.2159073034231994e+02|-7.6660694405649508e+01|2.6216145341509086e+03,-6.7009440192918603e+01|-7.4132002455005107e+01|2.6418520732070142e+03,-1.2958107444211567e+01|-7.9049120354923389e+01|2.6691417842886372e+03,5.5477745721596733e+01|-8.0740151234674059e+01|2.7124902312393929e+03,
1,-1.2168644638050645e+02|-7.6576662326671141e+01|2.6216837961550591e+03,-6.7062760259677475e+01|-7.4097315974810613e+01|2.6419013066704169e+03,-1.2960552842587772e+01|-7.8841182284587248e+01|2.6694267091068737e+03,5.5374438005390353e+01|-8.0675106535533985e+01|2.7124107121708553e+03,
2,-1.2177858118976033e+02|-7.6305357834162038e+01|2.6216746149719434e+03,-6.7183509793295883e+01|-7.3949687260874171e+01|2.6420211354044823e+03,-1.3086122362828682e+01|-7.8750091760547292e+01|2.6690840447274140e+03,5.5381646326509006e+01|-8.0537252697771180e+01|2.7123094810276220e+03,
3,-1.2185234914429165e+02|-7.5927742956204355e+01|2.6217358744882517e+03,-6.7243401080953561e+01|-7.3562008984194961e+01|2.6420054212937530e+03,-1.3144142997133635e+01|-7.8578048430485609e+01|2.6688522233849253e+03,5.5229959564763398e+01|-8.0340789466512035e+01|2.7123582910930600e+03,
4,-1.2192812065788709e+02|-7.5697259009856751e+01|2.6217906338839553e+03,-6.7353435227859023e+01|-7.3361446270958453e+01|2.6419994689767491e+03,-1.3236664498103615e+01|-7.8355847162891578e+01|2.6690020753015438e+03,5.5112771323229133e+01|-8.0126938646448508e+01|2.7124687093933003e+03,
5,-1.2200217637794221e+02|-7.5624361041140318e+01|2.6217998042105673e+03,-6.7440902248807078e+01|-7.3295327998163714e+01|2.6420115075837366e+03,-1.3358575816894653e+01|-7.8265901197348356e+01|2.6690922925607565e+03,5.5019100318900769e+01|-8.0063094724607367e+01|2.7125034055947031e+03,
6,-1.2214394170249837e+02|-7.5627727578748136e+01|2.6218655062922521e+03,-6.7725244774874668e+01|-7.3221281882997758e+01|2.6423204661695954e+03,-1.3573394222906302e+01|-7.8149569585450422e+01|2.6691499543866571e+03,5.4807910837033063e+01|-7.9925468995733368e+01|2.7126446744564923e+03,
7,-1.2239570229544201e+02|-7.5483946385661653e+01|2.6220785987591767e+03,-6.7898985897154404e+01|-7.3100639976165454e+01|2.6425118120772145e+03,-1.3738522130013695e+01|-7.8034977683858330e+01|2.6691928287561941e+03,5.4586586719223661e+01|-7.9777350448972413e+01|2.7127630640905581e+03,
8,-1.2254897031458056e+02|-7.5378254987323459e+01|2.6222565215656691e+03,-6.8032183830542493e+01|-7.2994989845718877e+01|2.6427049888244924e+03,-1.3852030581004120e+01|-7.7940244474738606e+01|2.6693374382098400e+03,5.4447849247365220e+01|-7.9681049135578746e+01|2.7129682605161702e+03,
9,-1.2272292797930164e+02|-7.5316397587774460e+01|2.6226643109757724e+03,-6.8183057440397448e+01|-7.2945878448577361e+01|2.6429027812850563e+03,-1.3996154365141056e+01|-7.7939166944617739e+01|2.6695942003871446e+03,5.4280532162546706e+01|-7.9668875439188298e+01|2.7131719435404616e+03,
